ConsumerID	Consumer_Street	Province	city	Postal_code	Country	Latitude	Longitude
1	5365 Noble Nectar Island	Drenthe 	Meppel	95175	Netharland 	18.2514534	-66.03705597
2	2679 Rustic Loop	Gelderland	Lelystad	95115	Netharland 	18.27945137	-66.0370636
3	8510 Round Bear Gate	Groningen 	Leeuwarden	95125	Netharland 	37.29223251	-121.881279
4	3200 Amber Bend	Flevoland 	Sneek	96027	Netharland 	34.12594605	-118.2910156
5	8671 Iron Anchor Corners	Drenthe 	Nijmegen	96929	Netharland 	18.25376892	-66.03704834
6	2122 Hazy Corner	Gelderland	Renkum	97831	Netharland 	43.01396942	-78.87906647
7	1879 Green Pine Bank	Groningen 	Rheden	98733	Netharland 	18.24253845	-66.03705597
8	7595 Cotton Log Row	Flevoland 	Tiel	99635	Netharland 	25.92886925	-80.16287231
9	2051 Dusty Route	Friesland 	Zutphen	100537	Netharland 	18.23322296	-66.03705597
10	9139 Blue Blossom Court	Limburg 	Groningen	101439	Netharland 	37.77399063	-121.966629
11	4058 Quiet Heights	Drenthe 	Kerkrade	102341	Netharland 	18.28284454	-66.03705597
12	3243 Shady Corner	Gelderland	Maastricht	103243	Netharland 	40.65486527	-73.58707428
13	131 Sunny Treasure Green	Groningen 	Roermond	104145	Netharland 	36.6763382	-121.656517
14	2531 Wishing Square	Flevoland 	Sittard	105047	Netharland 	18.27843857	-66.03705597
15	6417 Silver Towers	Friesland 	Tegelen	105949	Netharland 	42.52627564	-70.92703247
16	257 Harvest Close	Limburg 	Venlo	106851	Netharland 	18.28404999	-66.03705597
17	7342 Hazy Beacon Park	Drenthe 	Oss	107753	Netharland 	18.3957901	-65.87288666
18	7787 Lazy Corners	Gelderland	Roosendaal	108655	Netharland 	33.89869309	-118.1745605
19	5136 Rustic Pioneer Estates	Groningen 	Hertogenbosch	109557	Netharland 	18.233778	-66.0370636
20	1723 Tawny Via	Flevoland 	Tilburg	110459	Netharland 	42.04830551	-87.96134186
21	7111 Silent Fox Gardens	Friesland 	Amsterdam	111361	Netharland 	33.78245163	-118.1922455
22	3732 Old Mountain Bank	Limburg 	Den Helder	112263	Netharland 	18.28337669	-66.03705597
23	6217 Rustic Lake Forest	Noord-Brabant 	Marken	113165	Netharland 	38.61177445	-121.2828674
24	1082 Quiet Treasure Link	Noord-Holland 	Velsen	114067	Netharland 	18.20733643	-66.03705597
25	3176 Round Gate	Overijssel 	Volendam	114969	Netharland 	45.78831101	-108.5594101
26	1426 Fallen Line	Utrecht 	Zaanstad	115871	Netharland 	18.26163292	-66.03705597
27	9814 Emerald Prairie Limits	Drenthe 	Kampen	116773	Netharland 	41.23545456	-75.86985779
28	8271 Tawny Elk Abbey	Gelderland	Zwolle	117675	Netharland 	18.27022362	-66.0370636
29	3931 Gentle Ramp	Groningen 	Soest	118577	Netharland 	41.86886215	-84.57365418
30	9699 Honey Rise	Drenthe 	Meppel	119479	Netharland 	33.90942383	-118.1253586
31	1564 Rocky Terrace	Gelderland	Lelystad	120381	Netharland 	18.27526093	-66.0370636
32	4294 High Passage	Groningen 	Leeuwarden	121283	Netharland 	41.86544037	-88.10990143
33	5918 Golden Beacon Freeway	Flevoland 	Sneek	122185	Netharland 	18.28713608	-66.03705597
34	3915 Broad Lookout	Drenthe 	Nijmegen	123087	Netharland 	42.39110184	-83.13121796
35	7190 Silver Horse Glade	Gelderland	Renkum	123989	Netharland 	32.86539459	-96.86858368
36	830 Broad Beacon Maze	Groningen 	Rheden	124891	Netharland 	18.24074173	-66.03705597
37	6127 Dewy Goose Downs	Flevoland 	Tiel	125793	Netharland 	40.03171921	-76.87709808
38	1188 Old Abbey	Drenthe 	Zutphen	126695	Netharland 	32.81010819	-96.68649292
